stock_id,period_type,period,revenue,revenue_yoy,eps,eps_yoy,roe,announce_date
1219,quarterly,2023-Q2,,,0.23,-45.238095238095234,,2023-06-30
1219,quarterly,2023-Q3,,,0.29,390.0,,2023-09-30
1219,quarterly,2023-Q4,,,0.24,380.0,,2023-12-31
1219,quarterly,2024-Q1,,,0.15,-21.052631578947373,,2024-03-31
1219,quarterly,2024-Q2,,,0.18,-21.739130434782613,,2024-06-30
1219,quarterly,2024-Q3,,,0.04,-86.20689655172413,,2024-09-30
1219,quarterly,2024-Q4,,,0.17,-29.166666666666657,,2024-12-31
1219,quarterly,2025-Q1,,,0.1,-33.33333333333333,,2025-03-31
1219,quarterly,2025-Q2,,,-0.04,-122.22222222222223,,2025-06-30
1219,quarterly,2025-Q3,,,0.19,375.0,,2025-09-30
1219,quarterly,2025-Q4,,,0.2,17.64705882352941,3.332188251459979,2025-12-31
1219,quarterly,2026-Q1,,,0.11,9.999999999999995,3.458646616541354,2026-03-31
1220,quarterly,2021-Q2,,,0.32,,,2021-06-30
1220,quarterly,2021-Q3,,,0.16,,,2021-09-30
1220,quarterly,2021-Q4,,,0.15,,,2021-12-31
1220,quarterly,2022-Q1,,,0.19,,,2022-03-31
1220,quarterly,2022-Q2,,,0.1,-68.75,,2022-06-30
1220,quarterly,2022-Q3,,,-0.08,-150.0,,2022-09-30
1220,quarterly,2022-Q4,,,0.06,-60.0,,2022-12-31
1220,quarterly,2023-Q1,,,-0.04,-121.05263157894737,,2023-03-31
1220,quarterly,2023-Q2,,,0.2,100.0,,2023-06-30
1220,quarterly,2023-Q3,,,0.23,387.5,,2023-09-30
1220,quarterly,2023-Q4,,,0.37,516.6666666666667,,2023-12-31
1220,quarterly,2024-Q1,,,0.29,824.9999999999998,,2024-03-31
1220,quarterly,2024-Q2,,,0.43,114.99999999999999,,2024-06-30
1220,quarterly,2024-Q3,,,0.34,47.82608695652174,,2024-09-30
1220,quarterly,2024-Q4,,,0.12,-67.56756756756756,,2024-12-31
1220,quarterly,2025-Q1,,,-0.1,-134.48275862068968,,2025-03-31
1220,quarterly,2025-Q2,,,-0.01,-102.32558139534885,,2025-06-30
1220,quarterly,2025-Q3,,,0.24,-29.41176470588236,,2025-09-30
1220,quarterly,2025-Q4,,,-0.05,-141.66666666666666,0.6007967086789002,2025-12-31
1220,quarterly,2026-Q1,,,-0.17,-70.0,0.15333333333333335,2026-03-31
1225,quarterly,2021-Q2,,,0.47,,,2021-06-30
1225,quarterly,2021-Q3,,,0.13,,,2021-09-30
1225,quarterly,2021-Q4,,,0.56,,,2021-12-31
1225,quarterly,2022-Q1,,,0.94,,,2022-03-31
1225,quarterly,2022-Q2,,,0.67,42.55319148936172,,2022-06-30
1225,quarterly,2022-Q3,,,-0.05,-138.46153846153845,,2022-09-30
1225,quarterly,2022-Q4,,,0.13,-76.78571428571429,,2022-12-31
1225,quarterly,2023-Q1,,,0.3,-68.08510638297872,,2023-03-31
1225,quarterly,2023-Q2,,,0.18,-73.13432835820896,,2023-06-30
